,iteration,n_games
0,1.0,0.4068216909184485
1,2.0,0.46221868712862024
2,3.0,0.47396247602114816
3,4.0,0.48215037664342864
4,5.0,0.48827960510925
5,6.0,0.49230337341505637
6,7.0,0.4957656856781921
7,8.0,0.49866654189865717
8,9.0,0.5008187900622281
9,10.0,0.5031114022364666
10,11.0,0.5051700743929256
11,12.0,0.5066205025031582
12,13.0,0.5080709306133907
13,14.0,0.5089131146773967
14,15.0,0.5102231787769616
15,16.0,0.510878210826744
16,17.0,0.5116268188836383
17,18.0,0.512141486922753
18,19.0,0.5130304589903149
19,20.0,0.5140597950685444
20,21.0,0.5145744631076592
21,22.0,0.5153698591681093
22,23.0,0.5154634351752211
23,24.0,0.51593131521078
24,25.0,0.5164459832498948
25,26.0,0.5169606512890095
26,27.0,0.5175688953352361
27,28.0,0.518036775370795
28,29.0,0.5182707153885744
29,30.0,0.5187853834276891
30,31.0,0.5194404154774716
31,32.0,0.5200486595236982
32,33.0,0.5204697515557011
33,34.0,0.5206569035699247
34,35.0,0.52093763159126
35,36.0,0.5211247836054835
36,37.0,0.5212183596125953
37,38.0,0.5214990876339307
38,39.0,0.521779815655266
39,40.0,0.5220605436766014
40,41.0,0.5221541196837131
41,42.0,0.5223412716979366
42,43.0,0.5227623637299397
43,44.0,0.523043091751275
44,45.0,0.5232770317690544
45,46.0,0.5234173957797221
46,47.0,0.5234173957797221
47,48.0,0.5234173957797221
48,49.0,0.5236981238010574
49,50.0,0.5239320638188368
50,51.0,0.5239320638188368
51,52.0,0.5240724278295045
52,53.0,0.5243531558508399
53,54.0,0.5246806718757311
54,55.0,0.5251017639077341
55,56.0,0.5254760679361812
56,57.0,0.5256164319468488
57,58.0,0.525569643943293
58,59.0,0.5256632199504048
59,60.0,0.5258503719646282
60,61.0,0.5260375239788518
61,62.0,0.5262714639966313
62,63.0,0.5265054040144107
63,64.0,0.5267393440321901
64,65.0,0.5268329200393019
65,66.0,0.5270200720535255
66,67.0,0.527207224067749
67,68.0,0.527207224067749
68,69.0,0.527207224067749
69,70.0,0.5273475880784166
70,71.0,0.5275347400926402
71,72.0,0.5274411640855284
72,73.0,0.5274879520890844
73,74.0,0.5275347400926402
74,75.0,0.5276751041033079
75,76.0,0.5278622561175315
76,77.0,0.5278622561175315
77,78.0,0.5279090441210873
78,79.0,0.5278622561175315
79,80.0,0.5279090441210873
80,81.0,0.5279090441210873
81,82.0,0.528049408131755
82,83.0,0.5281429841388668
83,84.0,0.5280026201281991
84,85.0,0.5279090441210873
85,86.0,0.528049408131755
86,87.0,0.5279090441210873
87,88.0,0.5280026201281991
88,89.0,0.528049408131755
89,90.0,0.5280961961353109
90,91.0,0.5283769241566463
91,92.0,0.5285172881673139
92,93.0,0.5286108641744257
93,94.0,0.5287512281850933
94,95.0,0.5287512281850933
95,96.0,0.5287044401815375
96,97.0,0.5286108641744257
97,98.0,0.5287512281850933
98,99.0,0.528891592195761
99,100.0,0.5290787442099846
